DeviceName,DeviceDateTime,BatteryStatus,CommId,GPS Confidence,GPS Fail Counter,GpsQuality,Latitude,Longitude
0-4351902,2023-03-09 21:56:03,GOOD,0-4351902,0,0,3,48.357932,-4.560506
0-4351296,2023-03-09 21:54:47,GOOD,0-4351296,0,0,3,48.358083,-4.560506
0-4351902,2023-03-09 21:50:53,GOOD,0-4351902,0,0,3,48.358115,-4.560528
0-4351296,2023-03-09 21:49:45,GOOD,0-4351296,0,0,3,48.358061,-4.560592
0-4351902,2023-03-09 21:45:51,GOOD,0-4351902,0,0,3,48.35804,-4.560356
0-4351296,2023-03-09 21:44:47,GOOD,0-4351296,0,0,3,48.357943,-4.560635
0-4351902,2023-03-09 21:40:52,GOOD,0-4351902,0,0,3,48.357954,-4.560571
0-4351296,2023-03-09 21:39:45,GOOD,0-4351296,0,0,3,48.357943,-4.560635
0-4351902,2023-03-09 21:35:56,GOOD,0-4351902,0,0,3,48.357943,-4.56042
0-4351296,2023-03-09 21:34:49,GOOD,0-4351296,0,0,3,48.357922,-4.560614
0-4351296,2023-03-09 21:29:48,GOOD,0-4351296,0,0,3,48.357943,-4.560678
0-4351902,2023-03-09 21:25:52,GOOD,0-4351902,0,0,3,48.358104,-4.560614
0-4351296,2023-03-09 21:24:46,GOOD,0-4351296,0,0,3,48.357922,-4.560657
0-4351902,2023-03-09 21:20:55,GOOD,0-4351902,0,0,3,48.357986,-4.560635
0-4351296,2023-03-09 21:19:45,GOOD,0-4351296,0,0,3,48.357954,-4.560635
0-4351902,2023-03-09 21:15:51,GOOD,0-4351902,0,0,3,48.357954,-4.560635
0-4351296,2023-03-09 21:14:45,GOOD,0-4351296,0,0,3,48.357943,-4.560592
0-4351902,2023-03-09 21:10:53,GOOD,0-4351902,0,0,3,48.35804,-4.560592
0-4351296,2023-03-09 21:09:46,GOOD,0-4351296,0,0,3,48.357964,-4.560614
0-4351902,2023-03-09 21:05:54,GOOD,0-4351902,0,0,3,48.357868,-4.560549
0-4351296,2023-03-09 21:04:46,GOOD,0-4351296,0,0,3,48.357922,-4.560657
0-4351902,2023-03-09 21:00:54,GOOD,0-4351902,0,0,3,48.358072,-4.560635
0-4351296,2023-03-09 20:59:50,GOOD,0-4351296,0,0,3,48.357911,-4.560571
0-4351902,2023-03-09 20:55:55,GOOD,0-4351902,0,0,3,48.358029,-4.560699
0-4351296,2023-03-09 20:54:46,GOOD,0-4351296,0,0,3,48.357922,-4.560592
0-4351902,2023-03-09 20:50:53,GOOD,0-4351902,0,0,3,48.358018,-4.560699
0-4351296,2023-03-09 20:49:50,GOOD,0-4351296,0,0,3,48.357932,-4.560592
0-4351902,2023-03-09 20:45:53,GOOD,0-4351902,0,0,3,48.358018,-4.560699
0-4351296,2023-03-09 20:44:47,GOOD,0-4351296,0,0,3,48.357922,-4.560571
0-4351902,2023-03-09 20:40:54,GOOD,0-4351902,0,0,3,48.357964,-4.560592
0-4351296,2023-03-09 20:39:46,GOOD,0-4351296,0,0,3,48.357911,-4.560571
0-4351902,2023-03-09 20:35:55,GOOD,0-4351902,0,0,3,48.357997,-4.560635
